bacterial infections and mycoses,['c01']
polyuria,"['c12.777.934.616', 'c13.351.968.934.616', 'c23.888.942.600']"
proteinuria,"['c12.777.934.734', 'c13.351.968.934.734', 'c23.888.942.750']"
albuminuria,"['c12.777.934.734.269', 'c13.351.968.934.734.269', 'c23.888.942.750.269']"
hemoglobinuria,"['c12.777.934.734.634', 'c13.351.968.934.734.634', 'c23.888.942.750.634']"
urinary incontinence,"['c12.777.934.852', 'c13.351.968.934.814', 'c23.888.942.343.800']"
"urinary incontinence, stress","['c12.777.934.852.249', 'c13.351.968.934.814.500', 'c23.888.942.343.800.500']"
"urinary incontinence, urge","['c12.777.934.852.500', 'c13.351.968.934.814.750', 'c23.888.942.343.800.750']"
urinary retention,"['c12.777.934.880', 'c13.351.968.934.880']"
urolithiasis,"['c12.777.967', 'c13.351.968.967']"
urinary calculi,"['c12.777.967.500', 'c13.351.968.967.500', 'c23.300.175.850']"
female urogenital diseases and pregnancy complications,['c13']
female urogenital diseases,['c13.351']
"genital diseases, female",['c13.351.500']
adnexal diseases,['c13.351.500.056']
fallopian tube diseases,['c13.351.500.056.390']
salpingitis,"['c13.351.500.056.390.890', 'c13.351.500.056.750.875']"
ovarian diseases,"['c13.351.500.056.630', 'c19.391.630']"
anovulation,"['c13.351.500.056.630.050', 'c19.391.630.050']"
"menopause, premature",['c13.351.500.056.630.250']
oophoritis,"['c13.351.500.056.630.450', 'c13.351.500.056.750.500', 'c19.391.630.450']"
ovarian hyperstimulation syndrome,"['c13.351.500.056.630.642', 'c19.391.630.642']"
primary ovarian insufficiency,"['c13.351.500.056.630.750', 'c19.391.630.750']"
endometritis,"['c13.351.500.056.750.249', 'c13.351.500.852.299']"
parametritis,['c13.351.500.056.750.750']
endometriosis,['c13.351.500.163']
gynatresia,['c13.351.500.320']
"infertility, female",['c13.351.500.365.700']
vaginismus,"['c13.351.500.665.656', 'c13.351.500.894.870']"
uterine diseases,['c13.351.500.852']
endometrial hyperplasia,['c13.351.500.852.228']
hematometra,['c13.351.500.852.495']
pyometra,['c13.351.500.852.544']
uterine cervical diseases,['c13.351.500.852.593']
uterine cervical erosion,['c13.351.500.852.593.112']
uterine cervical incompetence,"['c13.351.500.852.593.120', 'c13.703.039.089.339']"
uterine cervicitis,['c13.351.500.852.593.150']
uterine hemorrhage,"['c13.351.500.852.691', 'c23.550.414.993']"
menorrhagia,"['c13.351.500.852.691.449', 'c23.550.568.875']"
metrorrhagia,"['c13.351.500.852.691.622', 'c23.550.414.993.700']"
uterine inversion,"['c13.351.500.852.726', 'c13.703.420.814']"
uterine prolapse,"['c13.351.500.852.833', 'c23.300.842.624.750']"
uterine rupture,"['c13.351.500.852.904', 'c13.703.420.904', 'c26.761.853']"
uterine perforation,"['c13.351.500.852.904.500', 'c26.761.853.500']"
uterine retroversion,"['c13.351.500.852.952', 'c23.300.970.750']"
vaginal diseases,['c13.351.500.894']
hematocolpos,['c13.351.500.894.300']
hydrocolpos,['c13.351.500.894.500']
vaginal discharge,['c13.351.500.894.700']
leukorrhea,['c13.351.500.894.700.500']
vaginal fistula,"['c13.351.500.894.767', 'c23.300.575.925']"
vaginitis,['c13.351.500.894.906']
atrophic vaginitis,['c13.351.500.894.906.316']
vulvovaginitis,"['c13.351.500.894.906.820', 'c13.351.500.944.902.737']"
vulvar diseases,['c13.351.500.944']
pruritus vulvae,"['c13.351.500.944.626', 'c17.800.685.710']"
vulvar lichen sclerosus,['c13.351.500.944.815']
vulvitis,['c13.351.500.944.902']
vulvar vestibulitis,['c13.351.500.944.902.368']
vulvodynia,['c13.351.500.944.951']
vesicovaginal fistula,"['c13.351.875.881.312.733', 'c13.351.968.829.548.733', 'c23.300.575.825.250.775', 'c23.300.575.925.816']"
pregnancy complications,['c13.703']
"abortion, spontaneous",['c13.703.039']
"abortion, habitual",['c13.703.039.089']
"abortion, incomplete",['c13.703.039.093']
"abortion, missed",['c13.703.039.173']
"abortion, threatened",['c13.703.039.339']
"abortion, veterinary","['c13.703.039.422', 'c22.021']"
embryo loss,"['c13.703.039.711', 'c23.550.260.440']"
"diabetes, gestational","['c13.703.170', 'c18.452.394.750.448', 'c19.246.200']"
fetal macrosomia,"['c13.703.170.500', 'c13.703.277.570', 'c13.703.726.570', 'c16.300.570', 'c19.246.099.968', 'c23.888.144.186.500']"
fetal death,"['c13.703.243', 'c23.550.260.460']"
fetal resorption,"['c13.703.243.300', 'c23.550.260.460.260']"
fetal diseases,"['c13.703.277', 'c16.300']"
chorioamnionitis,"['c13.703.277.030', 'c13.703.420.339.260', 'c13.703.590.268', 'c16.300.030']"
echogenic bowel,"['c13.703.277.050', 'c16.300.050']"
"erythroblastosis, fetal","['c13.703.277.060', 'c15.378.120.413', 'c16.300.060', 'c16.614.304', 'c20.188.413']"
hydrops fetalis,"['c13.703.277.060.480', 'c15.378.120.413.480', 'c15.378.420.826.100.350', 'c16.300.060.480', 'c16.320.365.826.100.350', 'c20.188.413.480', 'c23.888.277.395']"
fetal alcohol syndrome,"['c13.703.277.080', 'c16.300.080', 'c25.100.087.397']"
fetal growth retardation,"['c13.703.277.370', 'c16.300.390', 'c23.550.393.450']"
fetal hypoxia,"['c13.703.277.390', 'c16.300.420', 'c23.888.852.079.594']"
fetal nutrition disorders,"['c13.703.277.677', 'c18.654.521.625']"
pyelectasis,"['c13.703.277.838', 'c16.131.939.831', 'c16.300.895']"
"hypertension, pregnancy-induced","['c13.703.395', 'c14.907.489.480']"
eclampsia,['c13.703.395.124']
hellp syndrome,['c13.703.395.186']
pre-eclampsia,['c13.703.395.249']
morning sickness,"['c13.703.407', 'c23.888.821.937.049']"
hyperemesis gravidarum,"['c13.703.407.500', 'c23.888.821.937.049.500']"
nuchal cord,"['c13.703.413', 'c16.300.790']"
obstetric labor complications,['c13.703.420']
abruptio placentae,"['c13.703.420.078', 'c13.703.590.132']"
breech presentation,['c13.703.420.183']
cephalopelvic disproportion,['c13.703.420.235']
dystocia,['c13.703.420.288']
uterine inertia,['c13.703.420.288.728']
"fetal membranes, premature rupture",['c13.703.420.339']
"obstetric labor, premature",['c13.703.420.491']
premature birth,['c13.703.420.491.500']
placenta accreta,"['c13.703.420.643', 'c13.703.590.609']"
placenta previa,"['c13.703.420.714', 'c13.703.590.734']"
postpartum hemorrhage,"['c13.703.420.725', 'c13.703.844.700', 'c23.550.414.993.850']"
vasa previa,['c13.703.420.952']
oligohydramnios,['c13.703.560']
pemphigoid gestationis,"['c13.703.570', 'c17.800.865.700']"
placenta diseases,['c13.703.590']
"placenta, retained",['c13.703.590.767']
placental insufficiency,['c13.703.590.800']
polyhydramnios,['c13.703.610']
"pregnancy complications, cardiovascular","['c13.703.634', 'c14.583']"
"embolism, amniotic fluid","['c13.703.634.404', 'c14.583.404', 'c14.907.355.350.354']"
"pregnancy complications, hematologic","['c13.703.667', 'c15.378.785']"
pregnancy in diabetics,['c13.703.726']
"pregnancy, ectopic",['c13.703.733']
"pregnancy, abdominal",['c13.703.733.536']
"pregnancy, tubal",['c13.703.733.703']
"pregnancy, prolonged",['c13.703.805']
prenatal injuries,['c13.703.824']
prenatal exposure delayed effects,['c13.703.824.500']
puerperal disorders,['c13.703.844']
"depression, postpartum",['c13.703.844.253']
lactation disorders,"['c13.703.844.506', 'c17.800.090.937']"
galactorrhea,"['c13.703.844.506.389', 'c17.800.090.937.439']"
chiari-frommel syndrome,"['c13.703.844.506.389.500', 'c17.800.090.937.439.500']"
mastitis,"['c13.703.844.603', 'c17.800.090.968']"
granulomatous mastitis,"['c13.703.844.603.400', 'c17.800.090.968.400']"
postpartum thyroiditis,"['c13.703.844.714', 'c19.874.871.102.750']"
pubic symphysis diastasis,"['c13.703.844.728', 'c26.289.650']"
cardiovascular diseases,['c14']
cardiovascular abnormalities,"['c14.240', 'c16.131.240']"
"heart defects, congenital","['c14.240.400', 'c14.280.400', 'c16.131.240.400']"
aortic coarctation,"['c14.240.400.090', 'c14.280.400.090', 'c16.131.240.400.090']"
arrhythmogenic right ventricular dysplasia,"['c14.240.400.145', 'c14.280.238.028', 'c14.280.400.145', 'c16.131.240.400.145']"
barth syndrome,"['c14.240.400.172', 'c14.280.400.172', 'c16.131.077.121', 'c16.131.240.400.172', 'c16.320.322.068', 'c16.320.565.398.224', 'c18.452.648.398.224']"
cor triatriatum,"['c14.240.400.200', 'c14.280.400.200', 'c16.131.240.400.200']"
coronary vessel anomalies,"['c14.240.400.210', 'c14.280.400.210', 'c16.131.240.400.210']"
myocardial bridging,"['c14.240.400.210.500', 'c14.280.400.210.500', 'c16.131.240.400.210.500']"
crisscross heart,"['c14.240.400.220', 'c14.280.400.220', 'c16.131.240.400.220']"
dextrocardia,"['c14.240.400.280', 'c14.280.400.280', 'c16.131.240.400.280', 'c16.131.810.250']"
"ductus arteriosus, patent","['c14.240.400.340', 'c14.280.400.340', 'c16.131.240.400.340']"
ebstein anomaly,"['c14.240.400.395', 'c14.280.400.395', 'c16.131.240.400.395']"
ectopia cordis,"['c14.240.400.422', 'c16.131.240.400.422']"
eisenmenger complex,"['c14.240.400.450', 'c14.280.400.450', 'c16.131.240.400.450']"
heart septal defects,"['c14.240.400.560', 'c14.280.400.560', 'c16.131.240.400.560']"
aortopulmonary septal defect,"['c14.240.400.560.098', 'c14.280.400.560.098', 'c16.131.240.400.560.098']"
"truncus arteriosus, persistent","['c14.240.400.560.098.500', 'c14.280.400.560.098.500', 'c16.131.240.400.560.098.500']"
endocardial cushion defects,"['c14.240.400.560.350', 'c14.280.400.560.350', 'c16.131.240.400.560.350']"
"heart septal defects, atrial","['c14.240.400.560.375', 'c14.280.400.560.375', 'c16.131.240.400.560.375']"
"foramen ovale, patent","['c14.240.400.560.375.258', 'c14.280.400.560.375.258', 'c16.131.240.400.560.375.258']"
lutembacher syndrome,"['c14.240.400.560.375.518', 'c14.280.400.560.375.518', 'c16.131.240.400.560.375.518']"
"heart septal defects, ventricular","['c14.240.400.560.540', 'c14.280.400.560.540', 'c16.131.240.400.560.540']"
heterotaxy syndrome,"['c14.240.400.592', 'c14.280.400.592', 'c15.604.744.146', 'c16.131.077.401', 'c16.131.240.400.592']"
hypoplastic left heart syndrome,"['c14.240.400.625', 'c14.280.400.625', 'c16.131.240.400.625']"
isolated noncompaction of the ventricular myocardium,"['c14.240.400.660', 'c14.280.238.281.500', 'c14.280.400.660', 'c16.131.077.477', 'c16.131.240.400.655', 'c16.320.322.370']"
levocardia,"['c14.240.400.701', 'c14.280.400.701', 'c16.131.240.400.701', 'c16.131.810.700']"
tetralogy of fallot,"['c14.240.400.849', 'c14.280.400.849', 'c16.131.240.400.849']"
transposition of great vessels,"['c14.240.400.915', 'c14.280.400.915', 'c16.131.240.400.915']"
double outlet right ventricle,"['c14.240.400.915.300', 'c14.280.400.915.300', 'c16.131.240.400.915.300']"
tricuspid atresia,"['c14.240.400.920', 'c14.280.400.920', 'c14.280.484.845', 'c16.131.240.400.920']"
trilogy of fallot,"['c14.240.400.960', 'c14.280.400.960', 'c16.131.240.400.960']"
vascular malformations,"['c14.240.850', 'c16.131.240.850']"
arteriovenous malformations,"['c14.240.850.750', 'c14.907.150', 'c16.131.240.850.750']"
arteriovenous fistula,"['c14.240.850.750.147', 'c14.240.850.984.750', 'c14.907.150.125', 'c14.907.933.555', 'c16.131.240.850.750.125', 'c23.300.575.950.250']"
pulmonary atresia,"['c14.240.850.937', 'c14.280.484.640', 'c16.131.240.850.906']"
single umbilical artery,"['c14.240.850.976', 'c16.131.240.850.952']"
vascular fistula,"['c14.240.850.984', 'c14.907.933', 'c23.300.575.950']"
arterio-arterial fistula,"['c14.240.850.984.500', 'c14.907.933.110', 'c16.131.240.850.500', 'c23.300.575.950.150']"
heart diseases,['c14.280']
"arrhythmias, cardiac","['c14.280.067', 'c23.550.073']"
"arrhythmia, sinus","['c14.280.067.093', 'c23.550.073.093']"
sick sinus syndrome,"['c14.280.067.093.249', 'c14.280.067.558.536', 'c23.550.073.093.249', 'c23.550.073.425.440']"
"sinus arrest, cardiac","['c14.280.067.093.500', 'c23.550.073.093.500']"
atrial fibrillation,"['c14.280.067.198', 'c23.550.073.198']"
atrial flutter,"['c14.280.067.248', 'c23.550.073.248']"
bradycardia,"['c14.280.067.319', 'c23.550.073.300']"
brugada syndrome,"['c14.280.067.322', 'c16.320.100']"
"cardiac complexes, premature","['c14.280.067.325', 'c23.550.073.325']"
atrial premature complexes,"['c14.280.067.325.250', 'c23.550.073.325.050']"
ventricular premature complexes,"['c14.280.067.325.500', 'c23.550.073.325.800']"
commotio cordis,['c14.280.067.441']
heart block,"['c14.280.067.558', 'c23.550.073.425']"
adams-stokes syndrome,"['c14.280.067.558.137', 'c23.550.073.425.025']"
atrioventricular block,"['c14.280.067.558.230', 'c23.550.073.425.062']"
bundle-branch block,"['c14.280.067.558.323', 'c23.550.073.425.100']"
sinoatrial block,"['c14.280.067.558.750', 'c23.550.073.425.780']"
long qt syndrome,"['c14.280.067.565', 'c16.131.240.400.715', 'c23.550.073.547']"
andersen syndrome,"['c14.280.067.565.070', 'c16.131.240.400.715.070', 'c23.550.073.547.070']"
jervell-lange nielsen syndrome,"['c14.280.067.565.440', 'c16.131.240.400.715.440']"
romano-ward syndrome,"['c14.280.067.565.720', 'c16.131.240.400.715.720', 'c23.550.073.547.720']"
parasystole,"['c14.280.067.672', 'c23.550.073.670']"
pre-excitation syndromes,['c14.280.067.780']
lown-ganong-levine syndrome,['c14.280.067.780.560']
"pre-excitation, mahaim-type",['c14.280.067.780.770']
wolff-parkinson-white syndrome,"['c14.280.067.780.977', 'c16.131.240.400.980']"
tachycardia,"['c14.280.067.845', 'c23.550.073.845']"
"tachycardia, paroxysmal","['c14.280.067.845.695', 'c23.550.073.845.695']"
"tachycardia, reciprocating","['c14.280.067.845.787', 'c23.550.073.845.787']"
"tachycardia, atrioventricular nodal reentry","['c14.280.067.845.787.249', 'c23.550.073.845.787.500']"
"tachycardia, sinoatrial nodal reentry","['c14.280.067.845.787.500', 'c23.550.073.845.787.750']"
"tachycardia, supraventricular","['c14.280.067.845.880', 'c23.550.073.845.880']"
"tachycardia, ectopic atrial","['c14.280.067.845.880.315', 'c23.550.073.845.880.315']"
"tachycardia, ectopic junctional","['c14.280.067.845.880.320', 'c23.550.073.845.880.320']"
"tachycardia, sinus","['c14.280.067.845.880.845', 'c23.550.073.845.880.845']"
"tachycardia, ventricular","['c14.280.067.845.940', 'c23.550.073.845.940']"
accelerated idioventricular rhythm,"['c14.280.067.845.940.349', 'c23.550.073.845.940.349']"
torsades de pointes,"['c14.280.067.845.940.700', 'c23.550.073.845.940.700']"
ventricular fibrillation,"['c14.280.067.922', 'c23.550.073.922']"
ventricular flutter,"['c14.280.067.961', 'c23.550.073.961']"
"cardiac output, high","['c14.280.142', 'c23.888.176']"
"cardiac output, low","['c14.280.148', 'c23.888.192']"
cardiac tamponade,['c14.280.155']
cardiomegaly,"['c14.280.195', 'c23.300.775.250']"
"cardiomyopathy, dilated","['c14.280.195.160', 'c14.280.238.070']"
"hypertrophy, left ventricular","['c14.280.195.400', 'c23.300.775.250.400']"
"hypertrophy, right ventricular","['c14.280.195.410', 'c23.300.775.250.401']"
cardiomyopathies,['c14.280.238']
"cardiomyopathy, alcoholic","['c14.280.238.057', 'c25.100.087.250']"
"cardiomyopathy, hypertrophic","['c14.280.238.100', 'c14.280.484.150.070.160']"
"cardiomyopathy, hypertrophic, familial","['c14.280.238.100.500', 'c16.320.160']"
"cardiomyopathy, restrictive",['c14.280.238.160']
diabetic cardiomyopathies,"['c14.280.238.235', 'c19.246.099.625']"
endocardial fibroelastosis,['c14.280.238.281']
endomyocardial fibrosis,['c14.280.238.406']
myocardial reperfusion injury,"['c14.280.238.615', 'c14.280.647.625', 'c14.907.585.625', 'c14.907.725.600', 'c23.550.767.877.500']"
myocarditis,['c14.280.238.625']
endocarditis,['c14.280.282']
"endocarditis, non-infective",['c14.280.282.703']
heart aneurysm,"['c14.280.358', 'c14.907.055.608']"
heart arrest,['c14.280.383']
"death, sudden, cardiac","['c14.280.383.220', 'c23.550.260.322.250']"
out-of-hospital cardiac arrest,['c14.280.383.610']
heart failure,['c14.280.434']
"edema, cardiac","['c14.280.434.482', 'c23.888.277.197']"
"heart failure, diastolic",['c14.280.434.611']
"heart failure, systolic",['c14.280.434.676']
heart rupture,['c14.280.470']
"heart rupture, post-infarction",['c14.280.470.475']
ventricular septal rupture,['c14.280.470.475.900']
heart valve diseases,['c14.280.484']
aortic valve insufficiency,['c14.280.484.095']
aortic valve stenosis,"['c14.280.484.150', 'c14.280.955.249']"
"aortic stenosis, subvalvular","['c14.280.484.150.070', 'c14.280.955.249.070']"
discrete subaortic stenosis,"['c14.280.484.150.070.210', 'c14.280.955.249.070.210']"
"aortic stenosis, supravalvular","['c14.280.484.150.535', 'c14.280.955.249.535']"
heart valve prolapse,['c14.280.484.400']
aortic valve prolapse,['c14.280.484.400.100']
mitral valve prolapse,['c14.280.484.400.500']
tricuspid valve prolapse,['c14.280.484.400.875']
mitral valve insufficiency,['c14.280.484.461']
mitral valve stenosis,['c14.280.484.517']
pulmonary valve insufficiency,['c14.280.484.660']
pulmonary valve stenosis,"['c14.280.484.716', 'c14.280.955.750']"
pulmonary subvalvular stenosis,"['c14.280.484.716.762', 'c14.280.955.750.762']"
tricuspid valve insufficiency,['c14.280.484.856']
tricuspid valve stenosis,['c14.280.484.911']
myocardial ischemia,"['c14.280.647', 'c14.907.585']"
acute coronary syndrome,"['c14.280.647.124', 'c14.280.647.187.074', 'c14.907.585.124', 'c14.907.585.187.074', 'c23.888.646.215.500.074']"
angina pectoris,"['c14.280.647.187', 'c14.907.585.187', 'c23.888.646.215.500']"
"angina, unstable","['c14.280.647.187.150', 'c14.907.585.187.150', 'c23.888.646.215.500.150']"
"angina pectoris, variant","['c14.280.647.187.150.150', 'c14.907.585.187.150.500', 'c23.888.646.215.500.150.150']"
"angina, stable","['c14.280.647.187.362', 'c14.907.585.187.362', 'c23.888.646.215.500.575']"
microvascular angina,"['c14.280.647.187.575', 'c14.907.585.187.575']"
coronary disease,"['c14.280.647.250', 'c14.907.585.250']"
coronary aneurysm,"['c14.280.647.250.250', 'c14.907.055.395', 'c14.907.585.250.250']"
coronary artery disease,"['c14.280.647.250.260', 'c14.907.137.126.339', 'c14.907.585.250.260']"
coronary occlusion,"['c14.280.647.250.272', 'c14.907.585.250.272']"
coronary stenosis,"['c14.280.647.250.285', 'c14.907.585.250.285']"
coronary restenosis,"['c14.280.647.250.285.200', 'c14.907.585.250.285.200']"
coronary thrombosis,"['c14.280.647.250.290', 'c14.907.355.830.220', 'c14.907.585.250.290']"
coronary vasospasm,"['c14.280.647.250.295', 'c14.907.585.250.295']"
coronary-subclavian steal syndrome,"['c14.280.647.250.647', 'c14.907.585.250.647', 'c23.550.767.115']"
myocardial infarction,"['c14.280.647.500', 'c14.907.585.500']"
anterior wall myocardial infarction,"['c14.280.647.500.093', 'c14.907.585.500.093']"
inferior wall myocardial infarction,"['c14.280.647.500.187', 'c14.907.585.500.187']"
myocardial stunning,"['c14.280.647.500.375', 'c14.280.647.750', 'c14.907.585.500.375', 'c14.907.585.750']"
"shock, cardiogenic","['c14.280.647.500.750', 'c14.907.585.500.750', 'c23.550.835.550']"
pericardial effusion,['c14.280.695']
pericarditis,['c14.280.720']
"pericarditis, constrictive",['c14.280.720.595']
pneumopericardium,['c14.280.763']
postpericardiotomy syndrome,"['c14.280.793', 'c23.550.767.863']"
pulmonary heart disease,['c14.280.832']
ventricular dysfunction,['c14.280.945']
"ventricular dysfunction, left",['c14.280.945.900']
takotsubo cardiomyopathy,['c14.280.945.900.500']
"ventricular dysfunction, right",['c14.280.945.910']
ventricular outflow obstruction,['c14.280.955']
vascular diseases,['c14.907']
aneurysm,['c14.907.055']
"aneurysm, dissecting",['c14.907.055.050']
"aneurysm, false",['c14.907.055.090']
"aneurysm, ruptured",['c14.907.055.185']
aortic rupture,"['c14.907.055.185.125', 'c14.907.055.239.175', 'c14.907.109.139.175', 'c26.761.125']"
aortic aneurysm,"['c14.907.055.239', 'c14.907.109.139']"
"aortic aneurysm, abdominal","['c14.907.055.239.075', 'c14.907.109.139.075']"
"aortic aneurysm, thoracic","['c14.907.055.239.125', 'c14.907.109.139.125']"
endoleak,"['c14.907.055.501', 'c23.550.414.941.500', 'c23.550.767.850.500']"
iliac aneurysm,['c14.907.055.625']
angiodysplasia,['c14.907.075']
angiomatosis,['c14.907.077']
klippel-trenaunay-weber syndrome,['c14.907.077.410']
angioedema,"['c14.907.079', 'c17.800.862.945.066', 'c20.543.480.904.066']"
"angioedemas, hereditary","['c14.907.079.500', 'c16.320.078', 'c17.800.862.945.066.500', 'c20.543.480.904.066.500']"
hereditary angioedema type iii,"['c14.907.079.500.500', 'c17.800.862.945.066.500.500', 'c20.543.480.904.066.500.500']"
hereditary angioedema types i and ii,"['c14.907.079.500.750', 'c17.800.862.945.066.500.750', 'c20.543.480.904.066.500.750']"
aortic diseases,['c14.907.109']
aortic arch syndromes,['c14.907.109.239']
takayasu arteritis,"['c14.907.109.239.650', 'c14.907.184.800', 'c14.907.940.090.800', 'c17.800.862.875']"
aortitis,"['c14.907.109.320', 'c14.907.940.080']"
leriche syndrome,"['c14.907.109.661', 'c14.907.137.427']"
arterial occlusive diseases,['c14.907.137']
arteriosclerosis,['c14.907.137.126']
arteriolosclerosis,['c14.907.137.126.056']
arteriosclerosis obliterans,['c14.907.137.126.114']
atherosclerosis,['c14.907.137.126.307']
peripheral arterial disease,"['c14.907.137.126.307.500', 'c14.907.617.671']"
intermittent claudication,"['c14.907.137.126.669', 'c23.888.531']"
fibromuscular dysplasia,['c14.907.137.372']
malignant atrophic papulosis,"['c14.907.137.520', 'c14.907.940.530', 'c17.800.862.457']"
thromboangiitis obliterans,"['c14.907.137.870', 'c14.907.940.905']"
arteritis,"['c14.907.184', 'c14.907.940.090']"
endarteritis,"['c14.907.184.281', 'c14.907.940.090.340']"
polyarteritis nodosa,"['c14.907.184.595', 'c14.907.940.090.720', 'c14.907.940.897.500', 'c17.800.862.625']"
capillary leak syndrome,['c14.907.218']
diabetic angiopathies,"['c14.907.320', 'c19.246.099.500']"
diabetic foot,"['c14.907.320.191', 'c17.800.893.592.450.200', 'c19.246.099.500.191', 'c19.246.099.937.250']"
embolism and thrombosis,['c14.907.355']
embolism,['c14.907.355.350']
"embolism, air",['c14.907.355.350.254']
"embolism, fat",['c14.907.355.350.454']
"embolism, cholesterol",['c14.907.355.350.454.500']
blue toe syndrome,"['c14.907.355.350.454.500.200', 'c14.907.617.249']"
thromboembolism,"['c14.907.355.590', 'c14.907.355.830.850']"
"embolism, paradoxical","['c14.907.355.590.400', 'c14.907.355.830.850.400']"
venous thromboembolism,"['c14.907.355.590.700', 'c14.907.355.830.850.700']"
thrombosis,['c14.907.355.830']
venous thrombosis,['c14.907.355.830.925']
postthrombotic syndrome,"['c14.907.355.830.925.462', 'c14.907.952.880']"
thrombophlebitis,"['c14.907.355.830.925.770', 'c14.907.617.718.788', 'c14.907.940.740.910']"
upper extremity deep vein thrombosis,['c14.907.355.830.925.885']
hemostatic disorders,"['c14.907.454', 'c15.378.463.515']"
cryoglobulinemia,"['c14.907.454.140', 'c15.378.147.780.243', 'c15.378.463.515.140', 'c20.683.780.250']"
ehlers-danlos syndrome,"['c14.907.454.240', 'c15.378.463.515.240', 'c16.131.831.428', 'c16.320.850.260', 'c17.300.200.310', 'c17.800.804.428', 'c17.800.827.260']"
pseudoxanthoma elasticum,"['c14.907.454.530', 'c15.378.463.515.530', 'c16.131.831.766', 'c16.320.850.750', 'c17.300.766', 'c17.800.804.766', 'c17.800.827.750']"
"purpura, hyperglobulinemic","['c14.907.454.550', 'c15.378.100.802.250', 'c15.378.463.515.550', 'c23.550.414.950.250', 'c23.888.885.687.250']"
scurvy,"['c14.907.454.800', 'c15.378.463.515.800', 'c18.654.521.500.133.115.661']"
shwartzman phenomenon,"['c14.907.454.810', 'c14.907.940.890', 'c15.378.463.515.810']"
"telangiectasia, hereditary hemorrhagic","['c14.907.454.900', 'c14.907.823.780', 'c15.378.463.515.900', 'c16.131.240.850.968']"
hyperemia,['c14.907.474']
hypertension,['c14.907.489']
"hypertension, malignant",['c14.907.489.330']
masked hypertension,['c14.907.489.861']
white coat hypertension,['c14.907.489.907']
hypotension,['c14.907.514']
no-reflow phenomenon,"['c14.907.585.500.562', 'c23.550.513.677']"
peripheral vascular diseases,['c14.907.617']
erythromelalgia,['c14.907.617.500']
livedo reticularis,"['c14.907.617.625', 'c17.800.862.355', 'c23.888.885.437']"
phlebitis,"['c14.907.617.718', 'c14.907.940.740']"
postphlebitic syndrome,"['c14.907.617.718.760', 'c14.907.952.760']"
raynaud disease,['c14.907.617.812']
prehypertension,['c14.907.653']
reperfusion injury,"['c14.907.725', 'c23.550.767.877']"
primary graft dysfunction,"['c14.907.725.675', 'c23.550.767.877.750']"
splenic infarction,"['c14.907.795', 'c15.604.744.617']"
superior vena cava syndrome,['c14.907.800']
telangiectasis,['c14.907.823']
varicose veins,['c14.907.927']
varicose ulcer,"['c14.907.927.730', 'c17.800.893.592.730']"
vascular system injuries,"['c14.907.937', 'c26.940']"
vasculitis,['c14.907.940']
mucocutaneous lymph node syndrome,"['c14.907.940.560', 'c15.604.560', 'c17.800.862.560']"
"purpura, schoenlein-henoch","['c14.907.940.777', 'c15.378.100.802.375', 'c15.378.463.515.580', 'c20.543.520.600', 'c23.550.414.950.375', 'c23.888.885.687.375']"
systemic vasculitis,['c14.907.940.897']
anti-neutrophil cytoplasmic antibody-associated vasculitis,"['c14.907.940.897.249', 'c20.111.193']"
churg-strauss syndrome,"['c14.907.940.897.249.249', 'c15.604.515.292.015', 'c20.111.193.500']"
"vasculitis, leukocytoclastic, cutaneous","['c14.907.940.910', 'c20.543.520.910']"
vasoplegia,"['c14.907.946', 'c23.550.767.962']"
venous insufficiency,['c14.907.952']
hemic and lymphatic diseases,['c15']
hematologic diseases,['c15.378']
anemia,['c15.378.071']
"anemia, aplastic","['c15.378.071.085', 'c15.378.190.196']"
"anemia, hypoplastic, congenital","['c15.378.071.085.080', 'c15.378.190.196.080', 'c16.320.077']"
"anemia, diamond-blackfan","['c15.378.071.085.080.090', 'c15.378.071.750.500', 'c15.378.190.196.080.090', 'c16.320.077.090']"
fanconi anemia,"['c15.378.071.085.080.280', 'c15.378.190.196.080.280', 'c16.320.077.280', 'c18.452.284.280']"
"anemia, hemolytic",['c15.378.071.141']
"anemia, hemolytic, autoimmune","['c15.378.071.141.125', 'c20.111.175']"
"anemia, hemolytic, congenital","['c15.378.071.141.150', 'c16.320.070']"
"anemia, dyserythropoietic, congenital","['c15.378.071.141.150.095', 'c16.320.070.095']"
"anemia, hemolytic, congenital nonspherocytic","['c15.378.071.141.150.100', 'c16.320.070.100']"
"anemia, sickle cell","['c15.378.071.141.150.150', 'c15.378.420.155', 'c16.320.070.150', 'c16.320.365.155']"
hemoglobin sc disease,"['c15.378.071.141.150.150.440', 'c15.378.420.155.440', 'c16.320.070.150.440', 'c16.320.365.155.440']"
sickle cell trait,"['c15.378.071.141.150.150.670', 'c15.378.420.155.668', 'c16.320.070.150.670', 'c16.320.365.155.668']"
"elliptocytosis, hereditary","['c15.378.071.141.150.365', 'c16.320.070.365']"
glucosephosphate dehydrogenase deficiency,"['c15.378.071.141.150.480', 'c16.320.070.480', 'c16.320.565.202.402', 'c18.452.648.202.402']"
favism,"['c15.378.071.141.150.480.370', 'c15.378.071.141.370', 'c16.320.070.480.370', 'c25.723.415.341', 'c25.723.756.375']"
hemoglobin c disease,"['c15.378.071.141.150.490', 'c15.378.420.463', 'c16.320.070.490', 'c16.320.365.463']"
